ID,Titulo,Autoria,Localizacao,Freguesia,Data,Tipologia,pic_url,LON,LAT,Descricao
77,Gustave Eiffel,2CarryOn e MAMB,"Rua Luís de Camões, 4 e 6",Venteira,2016,Muro,http://geoportal.cm-amadora.pt/files_site_internet/links/pcultural/id77.jpg,"-9,235859523","38,75690972","2CarryOn e MAMB (2016). Esta pintura mural representa um tributo a Alexandre Gustave Eiffel, que se notabilizou pela construção de grandes infraestruturas históricas, como é o caso da Torre Eiffel, em Paris, e da Ponte D. Maria, no Porto. O nome da Escola pretende homenagear o contributo do engenheiro francês nas artes, nas ciências e na tecnologia, elementos também presentes na pintura mural."
78,Sem título,APAURB,Rua Gonçalves Ramos,Venteira,2014,Muro,http://geoportal.cm-amadora.pt/files_site_internet/links/pcultural/id78.jpg,"-9,235752965","38,75631861","APAURB (2014). Mural alusivo ao 15º Festival Internacional da Banda Desenhada da Amadora, em 2004. Desenho de André Carrilho."
79,Sem título,APAURB,Rua Gonçalves Ramos,Venteira,2014,Muro,http://geoportal.cm-amadora.pt/files_site_internet/links/pcultural/id79.jpg,"-9,236413665","38,75604379","APAURB (2014). Mural alusivo ao 13º Festival Internacional da Banda Desenhada da Amadora, em 2002. Desenho de Pedro Brito."
80,Sem título,APAURB,Rua Gonçalves Ramos,Venteira,2014,Muro,http://geoportal.cm-amadora.pt/files_site_internet/links/pcultural/id80.jpg,"-9,236534107","38,75599423","APAURB (2014). Mural alusivo ao 20º Festival Internacional da Banda Desenhada da Amadora, em 2009. Desenho de Rui Lacas."
81,Sem título,APAURB,Rua Gonçalves Ramos,Venteira,2014,Muro,http://geoportal.cm-amadora.pt/files_site_internet/links/pcultural/id81.jpg,"-9,236665184","38,75593973","APAURB (2014). Mural alusivo ao 20º Festival Internacional da Banda Desenhada da Amadora, em 2009. Desenho de Rui Lacas."
82,Sem título,APAURB,Rua Gonçalves Ramos,Venteira,2014,Muro,http://geoportal.cm-amadora.pt/files_site_internet/links/pcultural/id82.jpg,"-9,237018656","38,75579501","APAURB (2014). Mural alusivo ao 20º Festival Internacional da Banda Desenhada da Amadora, em 2009. Desenho de Rui Lacas."
83,Sem título,APAURB,Rua Gonçalves Ramos,Venteira,2014,Muro,http://geoportal.cm-amadora.pt/files_site_internet/links/pcultural/id83.jpg,"-9,237472597","38,75562386","APAURB (2014). Mural alusivo ao 19º Festival Internacional da Banda Desenhada da Amadora, em 2008. Desenho de Luís Henriques."
84,Sem título,APAURB,Rua Gonçalves Ramos,Venteira,2014,Muro,http://geoportal.cm-amadora.pt/files_site_internet/links/pcultural/id84.jpg,"-9,237839551","38,75553302","APAURB (2014). Mural alusivo ao 20º Festival Internacional da Banda Desenhada da Amadora, em 2009. Desenho de Rui Lacas."
85,Sem título,APAURB,Rua Gonçalves Ramos,Venteira,2014,Muro,http://geoportal.cm-amadora.pt/files_site_internet/links/pcultural/id85.jpg,"-9,239543027","38,7554216","APAURB (2014). Mural alusivo ao 20º Festival Internacional da Banda Desenhada da Amadora, em 2009. Desenho de Rui Lacas."
86,Sem título,APAURB,Rua Gonçalves Ramos,Venteira,2014,Muro,http://geoportal.cm-amadora.pt/files_site_internet/links/pcultural/id86.jpg,"-9,239725622","38,75541747","APAURB (2014). Mural alusivo ao 20º Festival Internacional da Banda Desenhada da Amadora, em 2009. Desenho de Rui Lacas."
